ModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease
ACH-000640,909727.0,SK-MEL-31,Skin,Melanoma
ACH-000643,1290922.0,HDQ-P1,Breast,Invasive Breast Carcinoma
ACH-000644,687448.0,COLO 829,Skin,Melanoma
ACH-000647,753621.0,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000648,908470.0,NCI-H28,Pleura,Pleural Mesothelioma
ACH-000649,905947.0,786-O,Kidney,Renal Cell Carcinoma
ACH-000650,1240153.0,IGR-37,Skin,Melanoma
ACH-000651,905962.0,SW 620,Bowel,Colorectal Adenocarcinoma
ACH-000652,1240219.0,SUIT-2,Pancreas,Pancreatic Adenocarcinoma
ACH-000653,1327766.0,JJN-3,Lymphoid,Mature B-Cell Neoplasms
ACH-000654,909262.0,Raji,Lymphoid,Mature B-Cell Neoplasms
ACH-000655,905986.0,SF268,CNS/Brain,Diffuse Glioma
ACH-000656,1331038.0,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms
ACH-000657,906804.0,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000660,1331036.0,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms
ACH-000662,687780.0,COR-L23,Lung,Non-Small Cell Lung Cancer
ACH-000663,1298365.0,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000664,909742.0,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms
ACH-000665,909728.0,SK-MES-1,Lung,Non-Small Cell Lung Cancer
ACH-000666,724866.0,NCI-H1355,Lung,Non-Small Cell Lung Cancer
ACH-000667,1240145.0,HCC-44,Lung,Non-Small Cell Lung Cancer
ACH-000668,907048.0,HCC70,Breast,Invasive Breast Carcinoma
ACH-000670,713880.0,SBC-5,Lung,Lung Neuroendocrine Tumor
ACH-000672,910779.0,IA-LM,Lung,Non-Small Cell Lung Cancer
ACH-000674,1298357.0,NUGC-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000675,722058.0,NCI-H1734,Lung,Non-Small Cell Lung Cancer
ACH-000677,724878.0,SW 1573,Lung,Non-Small Cell Lung Cancer
ACH-000678,924250.0,MKN7,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000679,910079.0,OE-19,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000680,909757.0,SW948,Bowel,Colorectal Adenocarcinoma
ACH-000681,905949.0,A549,Lung,Non-Small Cell Lung Cancer
ACH-000684,1298168.0,KMRC-1,Kidney,Renal Cell Carcinoma
ACH-000688,1480360.0,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
