split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
cell_blind,drpreter,4,cell,15052,247,139,222,-0.0016564602298777542,0.003466670924393561,-0.008099103056835862,0.005439099829894979,0.624,False
cell_blind,drpreter,4,scaffold,15052,247,139,222,-0.0016564602298777542,0.0014229081876826338,-0.004413063648140697,0.0011476199374154332,0.259,False
cell_blind,drpreter,4,twoway,15052,247,139,222,-0.0016564602298777542,0.0037575515675360633,-0.009021261302248437,0.00570834084249293,0.6593324561862759,False
cell_blind,graphdrp,0,rows,15052,247,139,222,-0.0215802221381588,0.0015939516118258883,-0.02463396544316626,-0.0183996730615831,0.001,True
cell_blind,graphdrp,0,drug,15052,247,139,222,-0.0215802221381588,0.0035537825261398675,-0.029629351589115966,-0.01581802392601789,0.001,True
cell_blind,graphdrp,0,cell,15052,247,139,222,-0.0215802221381588,0.005049807159307157,-0.03176175035818432,-0.012028380343537435,0.001,True
cell_blind,graphdrp,0,scaffold,15052,247,139,222,-0.0215802221381588,0.0038221885713757967,-0.02984892455213497,-0.015297059023387485,0.001,True
cell_blind,graphdrp,0,twoway,15052,247,139,222,-0.0215802221381588,0.005965671868988817,-0.03327293900137688,-0.009887505274940719,0.00029757710352727084,True
cell_blind,graphdrp,1,rows,15052,247,139,222,-0.021863786465989188,0.0013385965639222536,-0.02445004525293059,-0.019298462455842713,0.001,True
cell_blind,graphdrp,1,drug,15052,247,139,222,-0.021863786465989188,0.002946411522259318,-0.02831537038050282,-0.016696297657502742,0.001,True
cell_blind,graphdrp,1,cell,15052,247,139,222,-0.021863786465989188,0.00423486549683096,-0.030134868006115815,-0.013610803964612502,0.001,True
cell_blind,graphdrp,1,scaffold,15052,247,139,222,-0.021863786465989188,0.0031440965670358418,-0.029258950545952407,-0.01673366983449518,0.001,True
cell_blind,graphdrp,1,twoway,15052,247,139,222,-0.021863786465989188,0.00498232735514311,-0.03162914808206968,-0.012098424849908692,1.1425705844409097e-05,True
cell_blind,graphdrp,2,rows,15052,247,139,222,-0.021334078456141325,0.0014376766879786403,-0.024137843070468616,-0.018453490284216806,0.001,True
cell_blind,graphdrp,2,drug,15052,247,139,222,-0.021334078456141325,0.0035916291703238863,-0.029633925431183455,-0.015473166464972151,0.001,True
cell_blind,graphdrp,2,cell,15052,247,139,222,-0.021334078456141325,0.004350126181805012,-0.030037849110743538,-0.012940509332938553,0.001,True
cell_blind,graphdrp,2,scaffold,15052,247,139,222,-0.021334078456141325,0.003825391308884914,-0.029891178908508127,-0.01525976287109596,0.001,True
cell_blind,graphdrp,2,twoway,15052,247,139,222,-0.021334078456141325,0.0054549503788384425,-0.03202578119866467,-0.010642375713617978,9.193099389426447e-05,True
cell_blind,graphdrp,3,rows,15052,247,139,222,-0.01475569938386434,0.0013117872056779161,-0.01731692658947747,-0.01217988681137319,0.001,True
cell_blind,graphdrp,3,drug,15052,247,139,222,-0.01475569938386434,0.0024315415772289454,-0.020061958529474906,-0.010691351565513929,0.001,True
cell_blind,graphdrp,3,cell,15052,247,139,222,-0.01475569938386434,0.004459430293597119,-0.02380967164869474,-0.006339022998598041,0.001,True
cell_blind,graphdrp,3,scaffold,15052,247,139,222,-0.01475569938386434,0.0025282406771030847,-0.020564615102790507,-0.010751688874926132,0.001,True
cell_blind,graphdrp,3,twoway,15052,247,139,222,-0.01475569938386434,0.004906946842208956,-0.024373315194593896,-0.005138083573134786,0.002637495289384114,True
cell_blind,graphdrp,4,rows,15052,247,139,222,-0.02254347700686732,0.001280555952688414,-0.025017030674775086,-0.020016998548972608,0.001,True
