split,baseline,seed,scheme,n_rows,n_drugs,n_cells,n_scaffolds,delta,se,lo,hi,p,significant
scaffold_blind,cdrscan,0,rows,15246,49,697,44,0.24123984700639173,0.007799325587115897,0.2260962582941903,0.2569383732371401,0.001,True
scaffold_blind,cdrscan,0,drug,15246,49,697,44,0.24123984700639173,0.11525791338795542,-0.006801069072919881,0.44265969906387953,0.056,False
scaffold_blind,cdrscan,0,cell,15246,49,697,44,0.24123984700639173,0.00722969491525638,0.2269938101519529,0.2554482349851853,0.001,True
scaffold_blind,cdrscan,0,scaffold,15246,49,697,44,0.24123984700639173,0.14173537672425668,-0.07718169750252789,0.4475678969897688,0.186,False
scaffold_blind,cdrscan,0,twoway,15246,49,697,44,0.24123984700639173,0.1152207689936987,0.01540713977874228,0.46707255423404115,0.03628507060825483,True
tissue_blind,drpreter,0,rows,6026,247,56,222,-0.007740082214785948,0.001763891680391935,-0.011116924821451967,-0.0042619708590181955,0.001,True
tissue_blind,drpreter,0,drug,6026,247,56,222,-0.007740082214785948,0.002886052544144526,-0.013934678150689736,-0.002528331702287934,0.003,True
tissue_blind,drpreter,0,cell,6026,247,56,222,-0.007740082214785948,0.006356246310403553,-0.019946673550492955,0.005072365757800642,0.228,False
tissue_blind,drpreter,0,scaffold,6026,247,56,222,-0.007740082214785948,0.0023905872314014245,-0.012960147902804742,-0.0036980307798237157,0.001,True
tissue_blind,drpreter,0,twoway,6026,247,56,222,-0.007740082214785948,0.006754247003621202,-0.020978406341883506,0.005498241912311607,0.25181260260395516,False
tissue_blind,graphdrp,0,rows,6026,247,56,222,-0.017405589471154115,0.0017421267681987996,-0.020756355173674967,-0.01398819132235242,0.001,True
tissue_blind,graphdrp,0,drug,6026,247,56,222,-0.017405589471154115,0.002669805317243825,-0.022958931157148265,-0.012733149034211662,0.001,True
tissue_blind,graphdrp,0,cell,6026,247,56,222,-0.017405589471154115,0.005390957258929055,-0.02826659197746363,-0.007436244607329091,0.001,True
tissue_blind,graphdrp,0,scaffold,6026,247,56,222,-0.017405589471154115,0.002617199716146964,-0.023371899084556374,-0.01310757408269552,0.001,True
tissue_blind,graphdrp,0,twoway,6026,247,56,222,-0.017405589471154115,0.005758061733179706,-0.02869139046818634,-0.00611978847412189,0.002504303913913506,True
tissue_blind,cdrscan,0,rows,6026,247,56,222,-0.023716264936553766,0.0020900181350804073,-0.02787616433807529,-0.019742432685365904,0.001,True
tissue_blind,cdrscan,0,drug,6026,247,56,222,-0.023716264936553766,0.0034275296961955577,-0.03106619102177224,-0.017765798416585658,0.001,True
tissue_blind,cdrscan,0,cell,6026,247,56,222,-0.023716264936553766,0.008231691247257259,-0.03948220258521216,-0.00803294353451405,0.002,True
tissue_blind,cdrscan,0,scaffold,6026,247,56,222,-0.023716264936553766,0.003436801999226984,-0.03147914450765861,-0.0180804838145313,0.001,True
tissue_blind,cdrscan,0,twoway,6026,247,56,222,-0.023716264936553766,0.008668363444359565,-0.040706257287498514,-0.006726272585609018,0.006219925576233336,True
