split,seed,method,auroc,spearman,sel_gain
scaffold_blind,2,drug rarity,0.5,,-0.01012523525102238
scaffold_blind,2,cell rarity,0.4955610842447248,-0.011679514981681415,-0.0039831193512374075
scaffold_blind,2,expression distance,0.5,,-0.01012523525102238
scaffold_blind,3,evidential sigma,0.5120593170219976,0.02909519331508377,0.02036684859160698
scaffold_blind,3,extremeness,0.49805868835637385,0.013921432919925621,0.04837683055282049
scaffold_blind,3,drug rarity,0.5,,-0.0028646335047997074
scaffold_blind,3,cell rarity,0.4920084883394311,-0.010099087656404439,-0.008337192378201852
scaffold_blind,3,expression distance,0.5,,-0.0028646335047997074
scaffold_blind,4,evidential sigma,0.5186787864538875,0.02850517341037735,0.03854631824870447
scaffold_blind,4,extremeness,0.5027177407822974,0.04161829418213266,0.05611719222135014
scaffold_blind,4,drug rarity,0.5,,0.007122343182094926
scaffold_blind,4,cell rarity,0.49528366986899713,-0.012391096237463966,-0.01296474097109268
scaffold_blind,4,expression distance,0.5,,0.007122343182094926
tissue_blind,0,evidential sigma,0.6110668902506662,0.24703632070957127,0.21351329508360295
tissue_blind,0,extremeness,0.48354905047482594,-0.016416040930692107,0.01781114313653731
tissue_blind,0,drug rarity,0.5012628647913473,-0.005237027712970118,0.007671033478027223
tissue_blind,0,cell rarity,0.5,,-0.017367690119092893
tissue_blind,0,expression distance,0.5055156496866273,0.010252525975837808,0.010576357616157384
tissue_blind,1,evidential sigma,0.6162939905613125,0.2438901995372,0.20592003191040464
tissue_blind,1,extremeness,0.4805144627732751,-0.024712418035233184,-0.009754608986241253
tissue_blind,1,drug rarity,0.49370434720922246,-0.006190041580689853,0.0036329374313948115
tissue_blind,1,cell rarity,0.5,,0.010608500058620796
tissue_blind,1,expression distance,0.49855774881476644,0.0025604826351486956,-0.0018403679005323248
tissue_blind,2,evidential sigma,0.6135404617384849,0.24922515513129745,0.1995170776936377
tissue_blind,2,extremeness,0.48509550769543947,-0.018583964406344557,0.016216615623188768
tissue_blind,2,drug rarity,0.5075479427624667,0.010557524649555566,0.015306578718785824
tissue_blind,2,cell rarity,0.5,,-0.019773546250542173
tissue_blind,2,expression distance,0.49862048172930024,0.007058540447361346,-0.0063378126249205025
tissue_blind,3,evidential sigma,0.6167734925401808,0.254802635747757,0.20870316995888538
tissue_blind,3,extremeness,0.4923327600532662,-0.017176954854142515,0.0006940951862972611
tissue_blind,3,drug rarity,0.5112915941529619,0.020967586952257096,0.028485583953539062
tissue_blind,3,cell rarity,0.5,,-0.0035641781550252993
tissue_blind,3,expression distance,0.4900083926615598,-0.013033671825963683,-0.019521657014078597
tissue_blind,4,evidential sigma,0.6291933979197787,0.2764916331295949,0.22298915001948827
tissue_blind,4,extremeness,0.48166552087761305,-0.03296736778820154,-0.000756229618636306
tissue_blind,4,drug rarity,0.516710142761167,0.030979765213429288,0.025084487457155635
