model,split,seed,fold,run_tag,RMSE,MAE,PCC,Spearman,R2,Per-drug PCC,Per-cell PCC,best_val_pcc,best_val_epoch,total_train_sec,n_params,ECE,sel_RMSE@50,sel_RMSE@70,sel_RMSE@90,sel_RMSE@100,epistemic_mean,aleatoric_mean
graphdrp,drug_blind,0,0,,2.599914578721845,1.894185185432434,0.5665595531463623,0.5006057946038126,0.2877316474914551,0.65207839012146,0.5020081996917725,0.5625464916229248,18,1953.0104269981384,2859494,,,,,,,
graphdrp,drug_blind,1,0,,2.7212823058257825,1.9993447065353394,0.5215593576431274,0.4920400948423031,0.2110714316368103,0.6200159788131714,0.46526390314102173,0.52358478307724,1,763.7726714611053,2859494,,,,,,,
graphdrp,drug_blind,2,0,,2.660695832097988,1.9279468059539795,0.535408616065979,0.5099751716262672,0.25369197130203247,0.6430031657218933,0.48098257184028625,0.5372943878173828,3,902.0895171165466,2859494,,,,,,,
graphdrp,drug_blind,3,0,,2.5939623274703605,1.9329971075057983,0.5780987739562988,0.5004628636744312,0.2907835841178894,0.6432933211326599,0.5220648050308228,0.5680652856826782,3,901.0038273334503,2859494,,,,,,,
graphdrp,drug_blind,4,0,,2.8724963025632855,2.115311861038208,0.4879981279373169,0.42338368152205674,0.12859845161437988,0.6601939797401428,0.4019559621810913,0.48608115315437317,11,1460.2691605091095,2859494,,,,,,,
graphdrp,random,0,0,,0.9734662524733136,0.7178415656089783,0.9373339414596558,0.9025246126703101,0.8781605362892151,0.7492434978485107,0.9165260195732117,0.9423993229866028,44,3540.9511382579803,2859494,,,,,,,
graphdrp,random,1,0,,0.9839456318144462,0.7199805974960327,0.9347549676895142,0.9006423166739982,0.8735767006874084,0.745668351650238,0.915274977684021,0.9435229301452637,48,3575.756115913391,2859494,,,,,,,
graphdrp,random,2,0,,0.9699422513839393,0.7104672193527222,0.9356500506401062,0.9035071154794277,0.8749867677688599,0.7540282607078552,0.9198980927467346,0.941275417804718,46,3627.584969997406,2859494,,,,,,,
graphdrp,random,3,0,,0.954961570695533,0.7092576026916504,0.938244104385376,0.900256657175664,0.8800238370895386,0.7547339200973511,0.9165011644363403,0.9471132755279541,49,3575.175508260727,2859494,,,,,,,
graphdrp,random,4,0,,0.9546041111965272,0.7136021256446838,0.9370291829109192,0.9021476967793828,0.8776022791862488,0.7574501633644104,0.9221073985099792,0.9452577233314514,49,3625.690957546234,2859494,,,,,,,
